-0.56352	-0.58498	-0.60664	-0.62835	-0.64997	-0.67132	-0.6922	-0.71237	-0.73156	-0.74947	-0.76577	-0.7801	-0.79207	-0.80128	-0.80733	-0.80982	-0.80835	-0.8026	-0.79226	-0.7771	-0.75701	-0.73192	-0.70191	-0.66715	-0.62793	-0.58461	-0.53767	-0.48763	-0.43506	-0.38056	-0.32473	-0.26815	-0.21137	-0.15488	-0.099118	-0.044469	0.0087643	0.060343	0.11009	0.15791	0.20373	0.24756	0.28944	0.32943	0.36764	0.40414	0.43901	0.47224	0.50374	0.53328	0.56039	0.58437	0.60421	0.61861	0.62616	0.62547	0.61559	0.59631	0.56837	0.53349	0.49401	0.45249	0.41127	0.37217	0.33643	0.30469	0.27718	0.25379	0.23425	0.21817	0.20512	0.19468	0.18648	0.18016	0.1754	0.17193	0.16953	0.168	0.16717	0.1669	0.16708	0.1676	0.16838	0.16936	0.17048	0.17169	0.17295	0.17423	0.1755	0.17675	0.17796	0.1791	0.18018	0.18118	0.1821	0.18293	0.18367	0.18432	0.18487	0.18533
-0.58421	-0.60749	-0.63105	-0.65476	-0.67846	-0.70196	-0.72503	-0.7474	-0.76876	-0.78877	-0.80703	-0.82313	-0.83659	-0.84693	-0.85366	-0.85625	-0.85424	-0.84718	-0.83467	-0.81642	-0.79223	-0.76203	-0.72587	-0.68394	-0.6366	-0.58428	-0.52757	-0.46711	-0.40361	-0.3378	-0.27042	-0.20218	-0.13373	-0.065687	0.0014376	0.0672	0.13124	0.1933	0.25318	0.31077	0.36603	0.41899	0.46973	0.51835	0.56502	0.60988	0.65306	0.69463	0.73454	0.77251	0.808	0.84001	0.86703	0.88702	0.89746	0.89578	0.87993	0.84916	0.80448	0.74878	0.68614	0.62099	0.55718	0.49753	0.44376	0.39661	0.35612	0.32192	0.2934	0.26988	0.25066	0.23509	0.22258	0.21263	0.20481	0.19873	0.19409	0.19062	0.18811	0.18637	0.18526	0.18463	0.1844	0.18447	0.18476	0.18523	0.18582	0.18648	0.1872	0.18792	0.18865	0.18935	0.19001	0.19062	0.19118	0.19167	0.19208	0.19242	0.19269	0.19287
-0.60633	-0.63163	-0.65733	-0.6833	-0.70937	-0.73533	-0.76092	-0.78586	-0.80978	-0.83229	-0.85294	-0.87122	-0.88658	-0.89842	-0.90612	-0.90906	-0.90662	-0.89822	-0.88336	-0.86162	-0.83273	-0.79657	-0.75316	-0.70274	-0.64569	-0.58259	-0.51412	-0.44108	-0.36436	-0.28486	-0.20348	-0.12108	-0.038471	0.043641	0.12463	0.20399	0.28132	0.3563	0.42876	0.49858	0.56575	0.63035	0.6925	0.7524	0.81029	0.86644	0.92108	0.97442	1.0265	1.0772	1.1258	1.1711	1.2109	1.2422	1.2605	1.2609	1.2393	1.1933	1.1242	1.037	0.9391	0.83842	0.74141	0.6524	0.57362	0.50569	0.44817	0.40013	0.36038	0.32772	0.30105	0.27936	0.2618	0.24765	0.2363	0.22725	0.22009	0.21445	0.21008	0.20672	0.20418	0.20231	0.20097	0.20005	0.19947	0.19914	0.19901	0.19902	0.19913	0.19931	0.19953	0.19976	0.19999	0.20019	0.20037	0.2005	0.20058	0.20061	0.20057	0.20048
-0.62994	-0.65748	-0.68558	-0.7141	-0.74285	-0.77162	-0.80013	-0.82805	-0.855	-0.8805	-0.90403	-0.925	-0.94275	-0.95656	-0.96565	-0.96925	-0.96658	-0.95688	-0.9395	-0.91387	-0.87962	-0.83652	-0.7846	-0.7241	-0.65548	-0.57943	-0.49681	-0.40861	-0.3159	-0.21982	-0.12146	-0.021874	0.077969	0.17722	0.27515	0.37117	0.46483	0.55582	0.64393	0.72911	0.81137	0.89087	0.96782	1.0425	1.1154	1.1869	1.2574	1.3274	1.3971	1.4667	1.5357	1.6027	1.6649	1.7177	1.7538	1.764	1.7392	1.6735	1.5679	1.4314	1.2782	1.1227	0.97605	0.84465	0.73103	0.63509	0.55533	0.48967	0.43595	0.39217	0.35657	0.32768	0.30424	0.28526	0.26991	0.25751	0.24751	0.23948	0.23304	0.2279	0.22382	0.22059	0.21806	0.21609	0.21456	0.21338	0.21248	0.2118	0.21128	0.21089	0.21057	0.21031	0.21009	0.20987	0.20965	0.20942	0.20915	0.20885	0.20851	0.20812
-0.65509	-0.68512	-0.71589	-0.74726	-0.77906	-0.81104	-0.8429	-0.8743	-0.90478	-0.93384	-0.96085	-0.98513	-1.0059	-1.0222	-1.0333	-1.038	-1.0354	-1.0245	-1.0045	-0.97456	-0.93421	-0.8831	-0.82119	-0.74876	-0.66634	-0.57478	-0.47513	-0.36862	-0.25659	-0.14042	-0.021476	0.098971	0.21976	0.33989	0.45851	0.57496	0.68875	0.79956	0.90723	1.0117	1.1132	1.2118	1.3081	1.4023	1.4953	1.5876	1.6801	1.7735	1.8688	1.9665	2.0668	2.1685	2.2688	2.3612	2.4344	2.4715	2.4528	2.3631	2.2013	1.9845	1.7412	1.4991	1.277	1.0839	0.92178	0.78828	0.67965	0.59177	0.52086	0.46366	0.41749	0.38018	0.34997	0.32549	0.30562	0.28947	0.27634	0.26566	0.25696	0.24989	0.24413	0.23945	0.23564	0.23253	0.23	0.22793	0.22623	0.22481	0.22363	0.22263	0.22176	0.221	0.2203	0.21964	0.21902	0.2184	0.21778	0.21714	0.21649	0.2158
-0.68181	-0.71458	-0.74832	-0.78289	-0.81811	-0.85374	-0.88945	-0.92487	-0.9595	-0.99277	-1.024	-1.0523	-1.0768	-1.0965	-1.1101	-1.1165	-1.1144	-1.1026	-1.0799	-1.0453	-0.99809	-0.93775	-0.86418	-0.77765	-0.67881	-0.56867	-0.44855	-0.31997	-0.1846	-0.04414	0.099735	0.24548	0.39171	0.53724	0.68112	0.82261	0.96119	1.0966	1.2286	1.3575	1.4834	1.6067	1.7281	1.8482	1.9681	2.0888	2.2116	2.3381	2.4699	2.6088	2.7562	2.9124	3.0756	3.2383	3.3845	3.4845	3.4968	3.3825	3.1319	2.7789	2.3839	2.0017	1.664	1.3815	1.1521	0.96872	0.82307	0.70753	0.61571	0.54253	0.48397	0.43694	0.39902	0.36832	0.3434	0.3231	0.30652	0.29294	0.2818	0.27264	0.26508	0.25884	0.25366	0.24936	0.24577	0.24275	0.2402	0.23802	0.23615	0.23452	0.23307	0.23178	0.23059	0.22949	0.22844	0.22743	0.22644	0.22546	0.22448	0.22349
-0.71011	-0.7459	-0.78293	-0.82106	-0.86013	-0.89988	-0.93999	-0.98004	-1.0195	-1.0577	-1.0939	-1.1272	-1.1564	-1.1802	-1.1973	-1.2062	-1.2053	-1.1929	-1.1676	-1.128	-1.0732	-1.0023	-0.91511	-0.81198	-0.69363	-0.5613	-0.41662	-0.26149	-0.09798	0.07179	0.24578	0.42213	0.59917	0.77555	0.95017	1.1223	1.2913	1.4571	1.6196	1.7791	1.936	2.091	2.2451	2.3993	2.5551	2.7142	2.8787	3.0511	3.2346	3.4326	3.6492	3.888	4.1506	4.4323	4.7137	4.9476	5.0503	4.9248	4.5309	3.9389	3.2832	2.6735	2.1597	1.7488	1.4279	1.1795	0.9872	0.83775	0.72091	0.62895	0.55608	0.49796	0.45133	0.4137	0.38319	0.35833	0.33798	0.32127	0.30749	0.29608	0.28661	0.27871	0.27209	0.26652	0.26181	0.2578	0.25436	0.2514	0.2488	0.24652	0.24448	0.24264	0.24095	0.23938	0.2379	0.23649	0.23513	0.2338	0.23249	0.23118
-0.73999	-0.77908	-0.81972	-0.86181	-0.90517	-0.94956	-0.99465	-1.04	-1.0851	-1.1291	-1.1713	-1.2105	-1.2454	-1.2745	-1.2962	-1.3086	-1.3096	-1.2973	-1.2697	-1.2249	-1.1616	-1.0787	-0.97585	-0.85327	-0.71185	-0.55311	-0.37906	-0.1921	0.0051995	0.21021	0.42045	0.63363	0.84783	1.0615	1.2733	1.4826	1.6889	1.892	2.0922	2.29	2.4861	2.6816	2.8778	3.0764	3.2796	3.4899	3.7105	3.9455	4.1999	4.4803	4.7947	5.1525	5.5632	6.0313	6.5421	7.032	7.3473	7.2599	6.6385	5.6281	4.5302	3.5593	2.7852	2.1958	1.7539	1.4227	1.173	0.98287	0.83661	0.72295	0.63376	0.56316	0.50683	0.46154	0.4249	0.39507	0.37066	0.35057	0.33396	0.32017	0.30865	0.299	0.29086	0.28397	0.27809	0.27305	0.26869	0.2649	0.26157	0.25861	0.25596	0.25355	0.25135	0.2493	0.24738	0.24556	0.24382	0.24213	0.24048	0.23886
-0.77141	-0.81409	-0.8587	-0.90513	-0.95325	-1.0028	-1.0536	-1.105	-1.1565	-1.2073	-1.2565	-1.3028	-1.3447	-1.3804	-1.408	-1.4252	-1.4293	-1.4179	-1.3884	-1.3384	-1.2659	-1.1696	-1.0487	-0.90347	-0.73491	-0.54489	-0.33593	-0.11101	0.12664	0.37378	0.62733	0.88459	1.1433	1.4015	1.6581	1.9123	2.1636	2.4122	2.6585	2.9034	3.1482	3.3943	3.6438	3.899	4.1631	4.4396	4.7333	5.0501	5.3979	5.7868	6.2306	6.747	7.3579	8.0857	8.9347	9.839	10.556	10.617	9.6698	7.9854	6.1934	4.6888	3.5524	2.727	2.1317	1.699	1.3806	1.1428	0.96267	0.82436	0.71686	0.63239	0.56536	0.5117	0.4684	0.43322	0.40443	0.38074	0.36114	0.34481	0.33115	0.31966	0.30993	0.30166	0.29457	0.28845	0.28315	0.2785	0.2744	0.27075	0.26747	0.26449	0.26176	0.25923	0.25686	0.25462	0.25249	0.25044	0.24845	0.24651
-0.80431	-0.85088	-0.89979	-0.95098	-1.0044	-1.0597	-1.1167	-1.175	-1.2338	-1.2925	-1.3498	-1.4045	-1.4549	-1.4989	-1.534	-1.5574	-1.5662	-1.5569	-1.5263	-1.4712	-1.389	-1.2778	-1.1364	-0.96504	-0.76482	-0.53804	-0.28786	-0.01802	0.26743	0.56446	0.86933	1.1788	1.4901	1.8012	2.1108	2.4182	2.7231	3.026	3.3276	3.6294	3.933	4.2407	4.5551	4.8797	5.2184	5.5763	5.9597	6.3766	6.8378	7.3575	7.9552	8.6579	9.5017	10.531	11.78	13.201	14.474	14.826	13.529	10.967	8.2526	6.0515	4.4558	3.3395	2.5594	2.0072	1.6092	1.317	1.0986	0.93282	0.80508	0.7054	0.62673	0.56401	0.51356	0.47265	0.43921	0.41171	0.38893	0.36995	0.35404	0.34063	0.32925	0.31953	0.31119	0.30397	0.29768	0.29216	0.28728	0.28292	0.279	0.27544	0.27217	0.26914	0.26632	0.26366	0.26113	0.25871	0.25638	0.25411
